Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
4.Jan_S1_L001	1.4_	1	4	12	1_12	12	PINE NECK	NA	0.792	40.83347403	-72.55252498	W	OPEN WATER	Trawl	9/10/24	11:51:26	NA	Day	20240910	2024	9	10					
4.Jul_S1_L002	7.4_	7	4	20	7_20a	20	EAST SOUTH BAY	NA	0.691	40.869012	-72.444134	E	OPEN WATER	New	9/17/24	8:44:00	9:03:00	Day	20240917	2024	9	17					
4.Jun_S1_L002	6.4_	6	4	14	6_14	14	EW MID BAY	NA	0.7	40.843457	-72.518716	W	OPEN WATER	New	9/16/24	9:21:43	9:33:25	Day	20240916	2024	9	16					
4.May_S1_L002	5.4_	5	4	29	5_29	T3	NORTHEASTERN BAY EEL GRASS	NA	0.451	40.880262	-72.465403	E	EELGRASS	Shallow	9/15/24	8:51:56	9:10:55	Day	20240915	2024	9	15					
5.Apr_S1_L002	4.5_	4	5	8	4_8	8	WEST TIANA	NA	0.669	40.848655	-72.548	W	OPEN WATER	Trawl	9/13/24	21:13:16	21:27:49	Night	20240913	2024	9	13					
5.Feb_S1_L002	2.5_	2	5	8	2_8	8	WEST TIANA	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/11/24	20:03:55	20:15:36	Night	20240911	2024	9	11					
5.Jan_S1_L001	1.5_	1	5	9	1_9	9	DUNE ROAD	NA	0.975	40.828756	-72.532029	W	OPEN WATER	Trawl	9/10/24	12:29:41	12:44:45	Day	20240910	2024	9	10					
5.Jul_S1_L002	7.5_	7	5	8	7_8	8	WEST TIANA	NA	0.7	40.84863	-72.548037	W	OPEN WATER	Trawl	9/17/24	10:31:00	10:47:00	Day	20240917	2024	9	17					
5.Jun_S1_L002	6.5_	6	5	24	6_24	Tiana	TIANA CLAM 	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:05:57	10:17:59	Day	20240916	2024	9	16					
5.May_S1_L002	5.5_	5	5	29	5_29	T3	NORTHEASTERN BAY EEL GRASS	NA	0.652	40.880208	-72.465347	E	EELGRASS	Shallow	9/15/24	9:12:47	9:31:46	Day	20240915	2024	9	15					
6.Apr_S1_L002	4.6_	4	6	4	4_4	4	PONQUOGUE BRIDGE	NA	0.7	40.846597	-72.500637	E	OPEN WATER	Trawl	9/13/24	22:07:37	22:21:10	Night	20240913	2024	9	13					
6.Feb_S1_L002	2.6_	2	6	12	2_12	12	PINE NECK	NA	0.7	40.833474	-72.552525	W	OPEN WATER	Trawl	9/11/24	20:38:47	20:50:38	Night	20240911	2024	9	11					
