Sample	lat	long	replicates	sites	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time
T1S9_S1_L002	40.88104301	-72.48041698	T1S9	1	NA	20220711	7/11/22	2022	7	11	EAST	SHINNECOCK HILLS	OPEN WATER	6.48	24.9	29.6	13:17
T1Tiana_S1_L002	40.86009	-72.537887	T1Tiana	24	NA	20220711	7/11/22	2022	7	11	NA	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA
T1Wessuck_S1_L002	40.83866	-72.57004	T1Wessuck	23	NA	20220711	7/11/22	2022	7	11	NA	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA
T3Blank_S1_L002	NA	NA	T3Blank	NA	negative	20220808	8/11/22	2022	8	8	NA	NA	NA	NA	NA	NA	NA
T3PosCon_S1_L002	NA	NA	T3PosCon	NA	positive	20220808	8/12/22	2022	8	8	NA	NA	NA	NA	NA	NA	NA
T3S1_S1_L002	40.83347403	-72.55252498	T3S1	12	NA	20220808	8/8/22	2022	8	8	WEST	PINE NECK	OPEN WATER	4.83	26.4	30.9	10:16
T3S10_S1_L002	40.85579203	-72.45562004	T3S10	11	NA	20220808	8/8/22	2022	8	8	EAST	SOUTH GRASS	OPEN WATER	6.55	26.9	30.8	14:23
T3S11_S1_L002	40.87629701	-72.45737102	T3S11	7	NA	20220808	8/8/22	2022	8	8	EAST	LITTLE POND	OPEN WATER	5.89	26.9	30.9	14:53
T3S2_S1_L002	40.84862902	-72.54801502	T3S2	10	NA	20220808	8/8/22	2022	8	8	WEST	WEST MID BAY	OPEN WATER	5.31	25.8	31.2	10:30
T3S3_S1_L002	40.82872904	-72.53193802	T3S3	9	NA	20220808	8/8/22	2022	8	8	WEST	DUNE ROAD	OPEN WATER	5.65	26.6	30.9	11:04
T3S4_S1_L002	40.84659498	-72.50059901	T3S4	8	NA	20220808	8/8/22	2022	8	8	WEST	WEST TIANA	OPEN WATER	6.55	24.4	31.8	11:30
T3S5_S1_L002	40.850855	-72.488632	T3S5	4	NA	20220808	8/8/22	2022	8	8	EAST	PONQUOGUE BRIDGE	OPEN WATER	6.02	25.3	31.5	12:15
T3S6_S1_L002	40.850855	-72.488632	T3S6	3	NA	20220808	8/8/22	2022	8	8	EAST	INLET	OPEN WATER	7.35	25	31.7	12:41
T3S7_S1_L002	40.86263903	-72.49350901	T3S7	2	NA	20220808	8/8/22	2022	8	8	EAST	CORMORANT POINT	OPEN WATER	8.62	25.2	31.9	13:08
T3S8_S1_L002	40.88104301	-72.48041698	T3S8	1	NA	20220808	8/8/22	2022	8	8	EAST	SHINNECOCK HILLS	OPEN WATER	6.63	27.7	30.1	13:36
T3S9_S1_L002	40.86852003	-72.47460597	T3S9	13	NA	20220808	8/8/22	2022	8	8	EAST	EAST MID BAY	OPEN WATER	6.91	25.6	31.2	13:58
T3Tiana_S1_L002	40.86009	-72.537887	T3Tiana	24	NA	20220808	8/9/22	2022	8	8	NA	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA
T3Wessuck_S1_L002	40.83866	-72.57004	T3Wessuck	23	NA	20220808	8/10/22	2022	8	8	NA	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA
T5Blank_S2_L002	NA	NA	T5Blank	NA	negative	20220906	9/9/22	2022	9	6	NA	NA	NA	NA	NA	NA	NA
T5PosCon_S2_L002	NA	NA	T5PosCon	NA	positive	20220906	9/10/22	2022	9	6	NA	NA	NA	NA	NA	NA	NA
T5S1_S1_L002	40.83347403	-72.55252498	T5S1	12	NA	20220906	9/6/22	2022	9	6	WEST	PINE NECK	OPEN WATER	5.8	24.4	31.8	10:11
T5S10_S2_L002	40.85579203	-72.45562004	T5S10	11	NA	20220906	9/6/22	2022	9	6	EAST	SOUTH GRASS	OPEN WATER	6.78	22.9	32.2	13:31
T5S11_S2_L002	40.87629701	-72.45737102	T5S11	7	NA	20220906	9/6/22	2022	9	6	EAST	LITTLE POND	OPEN WATER	6.48	24.8	30.9	13:51
T5S2_S1_L002	40.84862902	-72.54801502	T5S2	10	NA	20220906	9/6/22	2022	9	6	WEST	WEST MID BAY	OPEN WATER	6.36	24.1	31.8	10:29
T5S3_S1_L002	40.82872904	-72.53193802	T5S3	9	NA	20220906	9/6/22	2022	9	6	WEST	DUNE ROAD	OPEN WATER	6.05	24.4	31.9	10:53
T5S4_S1_L002	40.84659498	-72.50059901	T5S4	8	NA	20220906	9/6/22	2022	9	6	WEST	WEST TIANA	OPEN WATER	5.85	23.8	32	11:14
T5S5_S1_L002	40.850855	-72.488632	T5S5	4	NA	20220906	9/6/22	2022	9	6	EAST	PONQUOGUE BRIDGE	OPEN WATER	6.3	23.5	32	11:40
T5S6_S2_L002	40.850855	-72.488632	T5S6	3	NA	20220906	9/6/22	2022	9	6	EAST	INLET	OPEN WATER	6.57	23.6	31.6	12:12
T5S7_S2_L002	40.86263903	-72.49350901	T5S7	2	NA	20220906	9/6/22	2022	9	6	EAST	CORMORANT POINT	OPEN WATER	6.9	24.5	31	12:32
T5S8_S2_L002	40.88104301	-72.48041698	T5S8	1	NA	20220906	9/6/22	2022	9	6	EAST	SHINNECOCK HILLS	OPEN WATER	6.7	24.8	30.7	12:52
T5S9_S2_L002	40.86852003	-72.47460597	T5S9	13	NA	20220906	9/6/22	2022	9	6	EAST	EAST MID BAY	OPEN WATER	6.53	24.6	30.8	13:10
T5Tiana_S2_L002	40.86009	-72.537887	T5Tiana	24	NA	20220906	9/7/22	2022	9	6	NA	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA
T5Wessuck_S2_L002	40.83866	-72.57004	T5Wessuck	23	NA	20220906	9/8/22	2022	9	6	NA	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA
