Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
13.Apr_S1_L002	4.13_	4	13	10	4_10b	10	WEST MID BAY	NA	0.7	40.837893	-72.53665	W	OPEN WATER	Trawl	9/14/24	2:51:26	3:03:17	Night	20240914	2024	9	14					
13.Feb_S1_L002	2.13_	2	13	10	2_10	10	EAST MID BAY	NA	0.7	40.837915	-72.536772	W	OPEN WATER	Trawl	9/12/24	0:44:22	0:55:52	Night	20240912	2024	9	12					
13.Jan_S1_L002	1.13_	1	13	1	1_1	1	SHINNECOCK HILLS	NA	0.438	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:18:11	NA	Day	20240910	2024	9	10					
13.Jul_S1_L002	7.13_	7	13	26	7_26	26	CANAL REEF 4	NA	0.7	40.812336	-72.59013	W	OYSTER REEF	Shallow	9/17/24	13:46:42	13:59:02	Day	20240917	2024	9	17					
13.May_S1_L002	5.13_	5	13	30	5_30	T4	SHINNECOCK ROAD EEL GRASS	NA	0.7	40.85816	-72.49513	E	EELGRASS	Shallow	9/15/24	12:40:06	12:54:50	Day	20240915	2024	9	15					
14.Apr_S1_L002	4.14_	4	14	12	4_12b	12	PINE NECK	NA	0.7	40.83354	-72.552619	W	OPEN WATER	Trawl	9/14/24	3:18:41	3:32:44	Night	20240914	2024	9	14					
14.Feb_S1_L002	2.14_	2	14	20	2_20	20	EW MID BAY	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	2:54:21	3:06:01	Night	20240912	2024	9	12					
14.Jan_S1_L002	1.14_	1	14	1	1_1	1	SHINNECOCK HILLS	NA	0.382	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:34:00	NA	Day	20240910	2024	9	10					
15.Apr_S1_L002	4.15_	4	15	9	4_9b	9	DUNE ROAD	NA	0.7	40.828712	-72.531978	W	OPEN WATER	Trawl	9/14/24	3:56:26	4:10:19	Night	20240914	2024	9	14					
15.Aug_S1_L002	8.15_	8	15	4	8_4b	4	PONQUOGUE BRIDGE	NA	0.444	40.84656	-72.50064	E	OPEN WATER	Trawl	9/18/24	20:17:17	20:36:45	Night	20240918	2024	9	18					
15.Feb_S1_L002	2.15_	2	15	20	2_20	20	OLD FORT POND	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	3:07:23	3:19:03	Night	20240912	2024	9	12					
15.Jan_S1_L002	1.15_	1	15	13	1_13	13	EAST MID BAY	NA	0.573	40.868552	-72.474623	E	OPEN WATER	Trawl	9/10/24	16:56:57	17:07:37	Day	20240910	2024	9	10					
15.Jul_S1_L002	7.15_	7	15	18	7_18	18	HOT DOG BEACH	NA	0.7	40.83084	-72.54773	W	OPEN WATER	New	9/17/24	14:45:15	14:57:37	Day	20240917	2024	9	17					
16.Aug_S1_L002	8.16_	8	16	3	8_3	3	INLET	NA	0.133	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	20:58:45	21:06:12	Night	20240918	2024	9	18					
16.Jan_S1_L002	1.16_	1	16	13	1_13	13	EAST MID BAY	NA	0.644	40.86847	-72.474572	E	OPEN WATER	Trawl	9/10/24	17:11:30	17:22:20	Day	20240910	2024	9	10					
16.May_S1_L002	5.16_	5	16	3	5_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:20:13	14:35:18	Day	20240915	2024	9	15					
17.Aug_S1_L002	8.17_	8	17	3	8_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	21:09:55	21:18:23	Night	20240918	2024	9	18					
17.Jul_S1_L002	7.17_	7	17	9	7_9	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/17/24	15:36:32	15:48:13	Day	20240917	2024	9	17					
17.May_S1_L002	5.17_	5	17	3	5_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:35:48	14:51:44	Day	20240915	2024	9	15					
18.Aug_S1_L002	8.18_	8	18	11	8_11b	11	SOUTH GRASS	NA	0.7	40.855792	-72.45562	E	OPEN WATER	Trawl	9/18/24	22:04:56	22:18:28	Night	20240918	2024	9	18					
18.Jan_S1_L002	1.18_	1	18	11	1_11	11	SOUTH GRASS	NA	1	40.856391	-72.456575	E	OPEN WATER	Trawl	9/10/24	17:55:11	18:10:37	Day	20240910	2024	9	10					
19.Jan_S1_L002	1.19_	1	19	7	1_7	7	LITTLE POND	NA	0.481	40.876297	-72.457371	E	OPEN WATER	Trawl	9/10/24	18:33:36	18:45:37	Day	20240910	2024	9	10					
19.May_S1_L002	5.19_	5	19	17	5_17	17	REAL INLET	NA	0.7	40.84684	-72.47505	E	OPEN WATER	New	9/15/24	15:23:25	15:23:25	Day	20240915	2024	9	15					
20.Jan_S1_L002	1.20_	1	20	20	1_20	20	EAST SOUTH BAY	NA	0.116	40.86892	-72.4441	E	OPEN WATER	New	9/10/24	18:59:30	19:09:29	Day	20240910	2024	9	10					
20.May_S1_L002	5.20_	5	20	21	5_21	21	FISH HAVEN	NA	0.7	40.859105	-72.477249	E	OPEN WATER	New	9/15/24	16:03:11	16:14:52	Day	20240915	2024	9	15					
22.Aug_S1_L002	8.22_	8	22	7	8_7	7	LITTLE POND	NA	0.595	40.876297	-72.457371	E	OPEN WATER	Trawl	9/19/24	0:00:52	0:16:16	Night	20240919	2024	9	19					
23.May_S1_L002	5.23_	5	23	20	5_20	20	EAST SOUTH BAY	NA	0.502	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:12:36	17:31:14	Day	20240915	2024	9	15					
24.Jul_S1_L002	7.24_	7	24	20	7_20b	20	EAST SOUTH BAY	NA	0.406	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:23:04	18:42:11	Day	20240917	2024	9	17					
24.May_S1_L002	5.24_	5	24	20	5_20	20	EAST SOUTH BAY	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:32:15	17:48:50	Day	20240915	2024	9	15					
25.Jul_S1_L002	7.25_	7	25	20	7_20b	20	EAST SOUTH BAY	NA	0.392	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:42:22	19:01:19	Day	20240917	2024	9	17					
9.Jun_S1_L002	6.9_	6	9	22	6_22	22	WESSUCK OYSTER	NA	0.465	40.83968	-72.56623	W	OYSTER REEF	New	9/16/24	12:43:02	0:00:00	Day	20240916	2024	9	16					
9.May_S1_L002	5.9_	5	9	19	5_19	19	SHAGWONG	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	11:11:21	11:22:52	Day	20240915	2024	9	15					
C.2_S1_L001	C.2_	Controls	2	control	negcontrol	control	NA	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.3_S1_L001	C.3_	Controls	3	control	negcontrol	control	NA	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.4_S1_L001	C.4_	Controls	4	control	poscontrol	control	NA	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.5_S1_L001	C.5_	Controls	5	control	poscontrol	control	NA	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
