"","MP_ACanal1_S3_L002","MP_ACanal2_S3_L002","MP_ACanal3_S3_L002","MP_ACanal4_S3_L002","MP_ACanal5_S3_L002","MP_ACanal6_S3_L002","MP_ACanal7_S3_L002","MP_ACanal8_S3_L002","MP_APosCon_S3_L002","MP_ASedge1_S2_L002","MP_ASedge10_S3_L002","MP_ASedge2_S2_L002","MP_ASedge3_S2_L002","MP_ASedge4_S2_L002","MP_ASedge5_S2_L002","MP_ASedge6_S3_L002","MP_ASedge7_S3_L002","MP_ASedge8_S3_L002","MP_ASedge9_S3_L002","MP_JCanal1_S2_L002","MP_JCanal2_S2_L002","MP_JCanal3_S2_L002","MP_JCanal4_S2_L002","MP_JCanal5_S2_L002","MP_JCanal6_S2_L002","MP_JCanal7_S2_L002","MP_JCanal8_S2_L002","MP_JPosCon_S2_L002","MP_JSedge1_S2_L002","MP_JSedge10_S2_L002","MP_JSedge2_S2_L002","MP_JSedge3_S2_L002","MP_JSedge4_S2_L002","MP_JSedge5_S2_L002","MP_JSedge6_S2_L002","MP_JSedge7_S2_L002","MP_JSedge8_S2_L002","MP_JSedge9_S2_L002","MP_OCanal1_S3_L002","MP_OCanal2_S3_L002","MP_OCanal3_S3_L002","MP_OCanal4_S3_L002","MP_OCanal5_S3_L002","MP_OCanal6_S3_L002","MP_OCanal7_S3_L002","MP_OCanal8_S3_L002","MP_OPosCon_S3_L002","MP_OSedge1_S3_L002","MP_OSedge10_S3_L002","MP_OSedge2_S3_L002","MP_OSedge3_S3_L002","MP_OSedge4_S3_L002","MP_OSedge5_S3_L002","MP_OSedge6_S3_L002","MP_OSedge7_S3_L002","MP_OSedge8_S3_L002","MP_OSedge9_S3_L002","MP_T1Blank_S1_L002","MP_T1PosCon_S1_L002","MP_T1S1_S1_L002","MP_T1S10_S1_L002","MP_T1S11_S1_L002","MP_T1S2_S1_L002","MP_T1S3_S1_L002","MP_T1S4_S1_L002","MP_T1S5_S1_L002","MP_T1S6_S1_L002","MP_T1S7_S1_L002","MP_T1S8_S1_L002","MP_T1S9_S1_L002","MP_T1Tiana_S1_L002","MP_T1Wessuck_S1_L002","MP_T3PosCon_S1_L002","MP_T3S1_S1_L002","MP_T3S10_S1_L002","MP_T3S11_S1_L002","MP_T3S2_S1_L002","MP_T3S3_S1_L002","MP_T3S4_S1_L002","MP_T3S5_S1_L002","MP_T3S6_S1_L002","MP_T3S7_S1_L002","MP_T3S8_S1_L002","MP_T3S9_S1_L002","MP_T3Tiana_S1_L002","MP_T3Wessuck_S1_L002","MP_T5PosCon_S2_L002","MP_T5S1_S1_L002","MP_T5S10_S2_L002","MP_T5S11_S2_L002","MP_T5S2_S1_L002","MP_T5S3_S1_L002","MP_T5S4_S1_L002","MP_T5S5_S1_L002","MP_T5S6_S2_L002","MP_T5S7_S2_L002","MP_T5S8_S2_L002","MP_T5S9_S2_L002","MP_T5Tiana_S2_L002","MP_T5Wessuck_S2_L002"
"ASV_21_a",0,0,0,0,0,0,0,0,64064,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,505,0,533,73952,508,0,0,0,536,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24_a",0,0,0,0,0,0,0,0,114808,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25_a",0,9187,0,0,0,0,0,0,0,0,0,0,0,0,10718,0,0,0,0,0,0,0,0,0,3854,7632,1122,0,0,0,0,0,0,0,0,0,0,0,23524,0,0,0,0,0,0,67728,0,0,0,0,15002,0,0,0,0,0,0,0,0,0,0,0,0,18892,0,0,0,0,0,0,0,0,0,0,0,0,0,26842,0,0,0,0,0,0,0,0,0,0,0,0,0,36986,0,0,0,0,0,0,0,0
"ASV_26_a",0,0,0,4229,0,24942,0,0,0,0,0,0,0,0,11149,0,0,0,0,0,0,0,31779,0,21279,0,0,0,0,0,0,19876,0,0,0,0,6482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14372,0,0,0,0,0,0,0,0,0,0,0,0,23646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27_a",0,0,0,0,0,0,0,19273,0,0,0,0,0,34508,0,883,0,19051,0,0,9927,0,0,0,0,0,0,0,1521,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25377,0,0,0,0,18624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6082,0,0,63643,0,0,0,0,0,0
"ASV_30_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14012,0,32445,20713,0,5172,0,0,0,0,0,0,0,3800,0,0,0,25034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22818,0,0,0,0,0,0,0
"ASV_31_a",0,0,0,0,0,0,0,0,14406,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32623,0,0,7634,0,5853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_37_a",0,0,0,0,0,0,0,0,0,0,0,0,6021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,9946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24883,0,0,0,0,0,0
"ASV_38_a",6754,0,0,0,0,7636,0,0,0,0,0,0,0,0,12439,0,0,0,0,0,0,0,0,0,0,14928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_47_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_52_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274,0,0,0,0,0,0,0,0,0,0,0,0,8675,10369,0,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_69_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_72_a",0,0,0,0,0,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_73_a",0,0,7161,0,0,14467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_85_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_89_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5190,0,0,0,0,0,0,0,0,0,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_104_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706,0,0,0,0,1364,3577,4965,0,0,578,2963,0,0,0,0,1412,0,0,3232,0,0,0,0,5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_110_a",0,0,4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_158_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_326_a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2_b",21938,18975,1156,18634,7270,41423,15937,22292,3954,2562,1383,1366,17064,1350,7744,7276,1543,3053,58375,22356,56678,56965,64463,36133,28908,14399,37561,2472,28846,87821,89235,59153,64449,67058,132553,156414,83311,47414,14346,16350,91839,72146,13101,89452,33032,34923,1315,2723,60585,44528,71567,139704,134681,74877,132145,61023,35050,0,2545,76441,40204,2781,61934,37647,142527,69553,58981,72488,72170,37405,117895,31823,2034,1433,40034,84010,7574,45720,72701,26092,27104,45464,25545,41273,907,2492,1340,27500,53882,38198,60179,69367,59941,100550,2369,56558,2591,13620,45907,9996
"ASV_3_b",9589,955,0,3472,696,9053,32193,1250,1205,0,532,0,0,0,8781,2794,631,1224,1263,0,0,0,0,0,0,15435,0,0,0,0,0,0,3432,0,8478,0,2399,0,690,853,1022,94279,601,52278,1320,59016,626,98338,523,52561,1058,1790,1027,82954,902,764,52943,0,964,1460,11680,77699,1107,545,1115,1136,17751,61473,1039,29438,1503,1096,811,561,19343,864,3001,22203,847,17828,4948,31188,104450,734,0,623,632,919,21025,0,34956,95887,5724,1056,0,0,0,0,28890,27468
"ASV_4_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,521,183114,0,0,0,587,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31951,257241,1089,0,793,857,0,891,796,893,904,769,908,1258,805,150041,0,634,671,884,790,731,984,0,1161,885,533,0,0,0,668,0,0,821,840,1040,896,0,0,0,0,0,0
"ASV_5_b",0,0,0,0,0,0,10121,0,0,39426,0,0,808,0,669,1054,6041,0,32072,901,652,848,3903,817,595,651,838,626,627,41929,893,1002,698,787,0,911,887,0,0,0,0,0,0,0,0,0,0,0,0,108759,0,0,0,16899,0,0,0,0,0,0,0,0,2515,0,6049,0,0,0,0,0,0,0,0,0,0,0,1624,3657,0,0,3584,0,20602,0,0,0,0,0,23246,712,12069,0,15631,48510,47361,57346,1539,73029,15764,0
"ASV_8_b",0,0,0,1839,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,17039,2914,0,2524,0,0,0,0,0,0,0,0,0,0,7733,0,0,0,107204,0,50389,3894,0,0,0,19733,0,0,0,0,0,0,0,0,0,0,540,0,0,3022,1180,533,12145,0,0,0,0,0,0,0,0,18516,0,0,0,0,181822,0,588,0,0,0,0,0,8473,0,0,21652,0,0,12305,0,0,0,0,0,1623
"ASV_10_b",0,0,0,0,0,11829,0,47687,0,0,0,0,0,0,0,955,10282,0,0,0,0,0,0,42859,0,0,4274,0,0,9683,3930,0,0,16161,0,27870,2753,0,0,0,0,0,30512,0,0,0,0,0,0,0,0,0,0,32137,0,6513,0,0,0,17209,0,0,17315,0,0,0,0,41923,0,0,1237,19618,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,28812,0,143223,513,0,0,0,0,17079,13059,0
"ASV_17_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24611,62541,0,0,10425,527,0,6625,35019,0,0,0,0,0,0,0,0,0,0,0,0,8908,0,0
"ASV_20_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47075,0,0,0,0,0,10217,0,0,0,0,0,0,0,66293,0,0,0,0,0,0,0,0,0,9401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,0,20283,0,0,0,0
"ASV_21_b",0,0,0,0,0,0,0,0,0,0,0,0,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727,0,0,12880,43177,0,0,0,0,0,6768,0,0,0,0,0,23084,8804,0,0,0,0,0,0,0,18915,0,0,0,12510,0,0,0,737,19332,0,0
"ASV_22_b",0,0,0,0,0,631,601,742,507,0,0,0,0,0,0,1442,0,591,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19707,0,18616,666,9074,584,6958,35048,0,1008,0,39976,0,731,63088,7346,0,0,38505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11748,8343,0,17145,0,0,0,0,0,0,0,0,4303
"ASV_25_b",0,0,0,0,0,0,0,0,0,0,0,927,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115940,0,0,0,0,0,0,0,0,0,0,0,0,1281
"ASV_29_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34_b",0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62182,0,0,0,0,0,0,0,0,0,0,0,0,662
"ASV_35_b",0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61625,0,0,0,0,0,0,0,0,0,0,0,0,754
"ASV_40_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58289,0,0
"ASV_44_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21460,0,0,12738,0,0,0,17661,0,0,0,0,0
"ASV_52_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16463,0,0,0,0,30049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_54_b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5967,17296,0,0,0,0,0,1642,0,0,0,0,0,0,0,0,0,0,0,2427,0,0,0
