"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_226","Eukaryota","Chordata","Actinopteri","Scombriformes","Nomeidae","Unknown Nomeidae (Family)","Unknown Nomeidae (Family)","Driftfishes","Nomeidae (Driftfishes)"
"ASV_240","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Strongylura","Strongylura marina","Atlantic needlefish","Strongylura marina (Atlantic needlefish)"
"ASV_368","Eukaryota","Chordata","Actinopteri","Perciformes","Triglidae","Prionotus","Prionotus carolinus","Northern searobin","Prionotus carolinus (Northern searobin)"
"ASV_403","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Sockeye salmon","Oncorhynchus nerka (Sockeye salmon)"
"ASV_406","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides spengleri","Bandtail puffer","Sphoeroides spengleri (Bandtail puffer)"
"ASV_422","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","Atlantic salmon","Salmo salar (Atlantic salmon)"
"ASV_429","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Unknown Lutjanus (Genus)","Snappers","Lutjanus (Snappers)"
"ASV_455","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Oreochromis","Oreochromis niloticus","Nile tilapia","Oreochromis niloticus (Nile tilapia)"
"ASV_471","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus burti","Gulf butterfish","Peprilus burti (Gulf butterfish)"
"ASV_614","Eukaryota","Chordata","Actinopteri","Aulopiformes","Synodontidae","Synodus","Synodus foetens","Inshore lizardfish","Synodus foetens (Inshore lizardfish)"
"ASV_621","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Balistes","Balistes capriscus","Grey triggerfsh","Balistes capriscus (Grey triggerfsh)"
"ASV_691","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus","Speckled worm eel","Myrophis punctatus (Speckled worm eel)"
"ASV_813","Eukaryota","Chordata","Actinopteri","Cypriniformes","Gobionidae","Gobio","Gobio gobio","Gudgeon","Gobio gobio (Gudgeon)"
"ASV_925","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Rhinoptera bonasus","Cownose ray","Rhinoptera bonasus (Cownose ray)"
"ASV_998","Eukaryota","Chordata","Actinopteri","Scombriformes","Icosteidae","Unknown Icosteidae (Family)","Unknown Icosteidae (Family)","Ragfish","Icosteidae (Ragfish)"
"ASV_1021","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Unknown Paralichthyidae (Family)","Unknown Paralichthyidae (Family)","Large-tooth flounders","Paralichthyidae (Large-tooth flounders)"
"ASV_1043","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinella","Sardinella brasiliensis","Brazilian sardinella","Sardinella brasiliensis (Brazilian sardinella)"
"ASV_1112","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Ophidion","Ophidion marginatum","Striped cusk-eel","Ophidion marginatum (Striped cusk-eel)"
"ASV_1418","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Lucania","Lucania parva","Rainwater killifish","Lucania parva (Rainwater killifish)"
