"","lat","long","replicates","sites","controls","Datecode","Date","Year","Month","Day","Bayside","Station","Habitat","DO","Temperature","Salinity","Time"
"MP_OSedge2_S3_L002",NA,NA,"OSedge2",35,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 2","OYSTER REEF",7.73,14.3,30.8,NA
"MP_OSedge3_S3_L002",40.82661667,-72.56753333,"OSedge3",31,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 3","OYSTER REEF",7.87,14.3,30.8,NA
"MP_OSedge4_S3_L002",NA,NA,"OSedge4",36,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 4","OYSTER REEF",7.68,14.5,30.9,NA
"MP_OSedge5_S3_L002",NA,NA,"OSedge5",37,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 5","OYSTER REEF",7.64,14.2,29.6,NA
"MP_OSedge6_S3_L002",40.82493333,-72.56288333,"OSedge6",32,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 6","OYSTER REEF",7.57,14.2,30.9,NA
"MP_OSedge7_S3_L002",NA,NA,"OSedge7",38,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 7","OYSTER REEF",7.6,14.3,30.9,NA
"MP_OSedge8_S3_L002",NA,NA,"OSedge8",39,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 8","OYSTER REEF",7.81,14.3,30.8,NA
"MP_OSedge9_S3_L002",40.82318333,-72.56958333,"OSedge9",33,NA,20221024,"10/24/22",2022,10,24,NA,"Sedge 9","OYSTER REEF",7.74,14.2,30.7,NA
"MP_T1Blank_S1_L002",NA,NA,"T1Blank",NA,"negative",20220711,"7/11/22",2022,7,11,NA,NA,NA,NA,NA,NA,NA
"MP_T1PosCon_S1_L002",NA,NA,"T1PosCon",NA,"positive",20220711,"7/11/22",2022,7,11,NA,NA,NA,NA,NA,NA,NA
"MP_T1S1_S1_L002",40.83347403,-72.55252498,"T1S1",12,NA,20220711,"7/11/22",2022,7,11,"WEST","PINE NECK","OPEN WATER",6.51,24.5,30.2,"10:11"
"MP_T1S10_S1_L002",40.85579203,-72.45562004,"T1S10",11,NA,20220711,"7/11/22",2022,7,11,"EAST","SOUTH GRASS","OPEN WATER",7.1,22.7,31.4,"13:49"
"MP_T1S11_S1_L002",40.87629701,-72.45737102,"T1S11",7,NA,20220711,"7/11/22",2022,7,11,"EAST","LITTLE POND","OPEN WATER",7.36,25.1,30.4,"14:08"
"MP_T1S2_S1_L002",40.82872904,-72.53193802,"T1S2",9,NA,20220711,"7/11/22",2022,7,11,"WEST","DUNE ROAD","OPEN WATER",6.06,24,31.3,"10:38"
"MP_T1S3_S1_L002",40.84862902,-72.54801502,"T1S3",10,NA,20220711,"7/11/22",2022,7,11,"WEST","WEST MID BAY","OPEN WATER",7.16,23.9,31,"10:57"
"MP_T1S4_S1_L002",40.84659498,-72.50059901,"T1S4",8,NA,20220711,"7/11/22",2022,7,11,"WEST","WEST TIANA","OPEN WATER",7.57,22.9,31.3,"11:35"
"MP_T1S5_S1_L002",40.850855,-72.488632,"T1S5",4,NA,20220711,"7/11/22",2022,7,11,"EAST","PONQUOGUE BRIDGE","OPEN WATER",7.55,23.7,31.3,"12:05"
"MP_T1S6_S1_L002",40.850855,-72.488632,"T1S6",3,NA,20220711,"7/11/22",2022,7,11,"EAST","INLET","OPEN WATER",6.95,21.2,32.1,"12:21"
"MP_T1S7_S1_L002",40.86852003,-72.47460597,"T1S7",13,NA,20220711,"7/11/22",2022,7,11,"EAST","EAST MID BAY","OPEN WATER",7.32,24.3,30.3,"12:36"
"MP_T1S8_S1_L002",40.86263903,-72.49350901,"T1S8",2,NA,20220711,"7/11/22",2022,7,11,"EAST","CORMORANT POINT","OPEN WATER",6.89,23.7,30.7,"12:57"
"MP_T1S9_S1_L002",40.88104301,-72.48041698,"T1S9",1,NA,20220711,"7/11/22",2022,7,11,"EAST","SHINNECOCK HILLS","OPEN WATER",6.48,24.9,29.6,"13:17"
"MP_T1Tiana_S1_L002",40.86009,-72.537887,"T1Tiana",24,NA,20220711,"7/11/22",2022,7,11,NA,"TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA
"MP_T1Wessuck_S1_L002",40.83866,-72.57004,"T1Wessuck",23,NA,20220711,"7/11/22",2022,7,11,NA,"WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA
"MP_T3PosCon_S1_L002",NA,NA,"T3PosCon",NA,"positive",20220808,"8/12/22",2022,8,8,NA,NA,NA,NA,NA,NA,NA
"MP_T3S1_S1_L002",40.83347403,-72.55252498,"T3S1",12,NA,20220808,"8/8/22",2022,8,8,"WEST","PINE NECK","OPEN WATER",4.83,26.4,30.9,"10:16"
"MP_T3S10_S1_L002",40.85579203,-72.45562004,"T3S10",11,NA,20220808,"8/8/22",2022,8,8,"EAST","SOUTH GRASS","OPEN WATER",6.55,26.9,30.8,"14:23"
"MP_T3S11_S1_L002",40.87629701,-72.45737102,"T3S11",7,NA,20220808,"8/8/22",2022,8,8,"EAST","LITTLE POND","OPEN WATER",5.89,26.9,30.9,"14:53"
"MP_T3S2_S1_L002",40.84862902,-72.54801502,"T3S2",10,NA,20220808,"8/8/22",2022,8,8,"WEST","WEST MID BAY","OPEN WATER",5.31,25.8,31.2,"10:30"
"MP_T3S3_S1_L002",40.82872904,-72.53193802,"T3S3",9,NA,20220808,"8/8/22",2022,8,8,"WEST","DUNE ROAD","OPEN WATER",5.65,26.6,30.9,"11:04"
"MP_T3S4_S1_L002",40.84659498,-72.50059901,"T3S4",8,NA,20220808,"8/8/22",2022,8,8,"WEST","WEST TIANA","OPEN WATER",6.55,24.4,31.8,"11:30"
"MP_T3S5_S1_L002",40.850855,-72.488632,"T3S5",4,NA,20220808,"8/8/22",2022,8,8,"EAST","PONQUOGUE BRIDGE","OPEN WATER",6.02,25.3,31.5,"12:15"
"MP_T3S6_S1_L002",40.850855,-72.488632,"T3S6",3,NA,20220808,"8/8/22",2022,8,8,"EAST","INLET","OPEN WATER",7.35,25,31.7,"12:41"
"MP_T3S7_S1_L002",40.86263903,-72.49350901,"T3S7",2,NA,20220808,"8/8/22",2022,8,8,"EAST","CORMORANT POINT","OPEN WATER",8.62,25.2,31.9,"13:08"
"MP_T3S8_S1_L002",40.88104301,-72.48041698,"T3S8",1,NA,20220808,"8/8/22",2022,8,8,"EAST","SHINNECOCK HILLS","OPEN WATER",6.63,27.7,30.1,"13:36"
"MP_T3S9_S1_L002",40.86852003,-72.47460597,"T3S9",13,NA,20220808,"8/8/22",2022,8,8,"EAST","EAST MID BAY","OPEN WATER",6.91,25.6,31.2,"13:58"
"MP_T3Tiana_S1_L002",40.86009,-72.537887,"T3Tiana",24,NA,20220808,"8/9/22",2022,8,8,NA,"TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA
"MP_T3Wessuck_S1_L002",40.83866,-72.57004,"T3Wessuck",23,NA,20220808,"8/10/22",2022,8,8,NA,"WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA
"MP_T5PosCon_S2_L002",NA,NA,"T5PosCon",NA,"positive",20220906,"9/10/22",2022,9,6,NA,NA,NA,NA,NA,NA,NA
"MP_T5S1_S1_L002",40.83347403,-72.55252498,"T5S1",12,NA,20220906,"9/6/22",2022,9,6,"WEST","PINE NECK","OPEN WATER",5.8,24.4,31.8,"10:11"
"MP_T5S10_S2_L002",40.85579203,-72.45562004,"T5S10",11,NA,20220906,"9/6/22",2022,9,6,"EAST","SOUTH GRASS","OPEN WATER",6.78,22.9,32.2,"13:31"
"MP_T5S11_S2_L002",40.87629701,-72.45737102,"T5S11",7,NA,20220906,"9/6/22",2022,9,6,"EAST","LITTLE POND","OPEN WATER",6.48,24.8,30.9,"13:51"
"MP_T5S2_S1_L002",40.84862902,-72.54801502,"T5S2",10,NA,20220906,"9/6/22",2022,9,6,"WEST","WEST MID BAY","OPEN WATER",6.36,24.1,31.8,"10:29"
"MP_T5S3_S1_L002",40.82872904,-72.53193802,"T5S3",9,NA,20220906,"9/6/22",2022,9,6,"WEST","DUNE ROAD","OPEN WATER",6.05,24.4,31.9,"10:53"
"MP_T5S4_S1_L002",40.84659498,-72.50059901,"T5S4",8,NA,20220906,"9/6/22",2022,9,6,"WEST","WEST TIANA","OPEN WATER",5.85,23.8,32,"11:14"
"MP_T5S5_S1_L002",40.850855,-72.488632,"T5S5",4,NA,20220906,"9/6/22",2022,9,6,"EAST","PONQUOGUE BRIDGE","OPEN WATER",6.3,23.5,32,"11:40"
"MP_T5S6_S2_L002",40.850855,-72.488632,"T5S6",3,NA,20220906,"9/6/22",2022,9,6,"EAST","INLET","OPEN WATER",6.57,23.6,31.6,"12:12"
"MP_T5S7_S2_L002",40.86263903,-72.49350901,"T5S7",2,NA,20220906,"9/6/22",2022,9,6,"EAST","CORMORANT POINT","OPEN WATER",6.9,24.5,31,"12:32"
"MP_T5S8_S2_L002",40.88104301,-72.48041698,"T5S8",1,NA,20220906,"9/6/22",2022,9,6,"EAST","SHINNECOCK HILLS","OPEN WATER",6.7,24.8,30.7,"12:52"
"MP_T5S9_S2_L002",40.86852003,-72.47460597,"T5S9",13,NA,20220906,"9/6/22",2022,9,6,"EAST","EAST MID BAY","OPEN WATER",6.53,24.6,30.8,"13:10"
"MP_T5Tiana_S2_L002",40.86009,-72.537887,"T5Tiana",24,NA,20220906,"9/7/22",2022,9,6,NA,"TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA
"MP_T5Wessuck_S2_L002",40.83866,-72.57004,"T5Wessuck",23,NA,20220906,"9/8/22",2022,9,6,NA,"WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA
