"","lat","long","replicates","sites","site_altname","controls","Datecode","Date","Year","Month","Day","Bayside","Station","Habitat","DO","Temperature","Salinity","Time","Weather"
"MP_T1WC_S22_L001",40.83866,-72.57004,"T1WC",23,"WC",NA,20240603,"6/3/24",2024,6,3,"WEST","WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T1TC_S22_L001",40.86009,-72.537887,"T1TC",24,"Tiana",NA,20240603,"6/3/24",2024,6,3,"WEST","TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T3Positive_S22_L001",NA,NA,"T3Positive",NA,NA,"positive",20240708,"7/8/24",2024,7,8,"N/A",NA,NA,NA,NA,NA,NA,NA
"MP_T3S1_S22_L001",40.83347403,-72.55252498,"T3S1",12,"12",NA,20240708,"7/8/24",2024,7,8,"WEST","PINE NECK","OPEN WATER",5.93,23.1,29.2,"10:05","foggy"
"MP_T3S2_S22_L001",40.83791502,-72.53677203,"T3S2",10,"10",NA,20240708,"7/8/24",2024,7,8,"WEST","WEST MID BAY","OPEN WATER",8.02,19.4,30.4,"10:39","foggy"
"MP_T3S3_S22_L001",40.82872904,-72.53193802,"T3S3",9,"9",NA,20240708,"7/8/24",2024,7,8,"WEST","DUNE ROAD","OPEN WATER",5.27,24.6,29.4,"10:25","foggy"
"MP_T3S4_S22_L001",40.84862902,-72.54801502,"T3S4",8,"8",NA,20240708,"7/8/24",2024,7,8,"WEST","WEST TIANA","OPEN WATER",7.47,22.6,29.6,"11:11","foggy"
"MP_T3S5_S22_L001",40.84659498,-72.50059901,"T3S5",4,"4",NA,20240708,"7/8/24",2024,7,8,"EAST","PONQUOGUE BRIDGE","OPEN WATER",7.21,21.5,29.6,"11:43","foggy"
"MP_T3S6_S22_L001",40.850855,-72.488632,"T3S6",3,"3",NA,20240708,"7/8/24",2024,7,8,"EAST","INLET","OPEN WATER",9.96,18.6,30.5,"12:03","foggy"
"MP_T3S7_S22_L001",40.86263903,-72.49350901,"T3S7",2,"2",NA,20240708,"7/8/24",2024,7,8,"EAST","CORMORANT POINT","OPEN WATER",7.33,21.7,29.2,"12:18","foggy"
"MP_T3S8_S22_L001",40.88104301,-72.48041698,"T3S8",1,"1",NA,20240708,"7/8/24",2024,7,8,"EAST","SHINNECOCK HILLS","OPEN WATER",6.12,22.2,29.3,"12:40","foggy"
"MP_T3S9_S22_L001",40.86852003,-72.47460597,"T3S9",13,"13",NA,20240708,"7/8/24",2024,7,8,"EAST","EAST MID BAY","OPEN WATER",6.79,26,27.9,"1:05","foggy"
"MP_T3S10_S22_L001",40.85579203,-72.45562004,"T3S10",11,"11",NA,20240708,"7/8/24",2024,7,8,"EAST","SOUTH GRASS","OPEN WATER",8.23,18.1,30.5,"1:27","foggy"
"MP_T3S11_S22_L001",40.87629701,-72.45737102,"T3S11",7,"7",NA,20240708,"7/8/24",2024,7,8,"EAST","LITTLE POND","OPEN WATER",7.17,25.9,28.6,"1:49","foggy"
"MP_T3WC_S22_L001",40.83866,-72.57004,"T3WC",23,"WC",NA,20240708,"7/8/24",2024,7,8,"WEST","WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T3TC_S22_L001",40.86009,-72.537887,"T3TC",24,"Tiana",NA,20240708,"7/8/24",2024,7,8,"WEST","TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T5S1_S22_L001",40.83347403,-72.55252498,"T5S1",12,"12",NA,20240805,"8/5/24",2024,8,5,"WEST","PINE NECK","OPEN WATER",5.26,24,29.9,"9:51","Sunny"
"MP_T5S2_S22_L001",40.83791502,-72.53677203,"T5S2",10,"10",NA,20240805,"8/5/24",2024,8,5,"WEST","WEST MID BAY","OPEN WATER",6.83,19.9,31,"10:30","Sunny"
"MP_T5S3_S22_L001",40.82872904,-72.53193802,"T5S3",9,"9",NA,20240805,"8/5/24",2024,8,5,"WEST","DUNE ROAD","OPEN WATER",3.6,25.8,29.5,"10:14","Sunny"
"MP_T5S4_S22_L001",40.84862902,-72.54801502,"T5S4",8,"8",NA,20240805,"8/5/24",2024,8,5,"WEST","WEST TIANA","OPEN WATER",6.8,24.5,29.8,"11:05","Sunny"
"MP_T5S5_S22_L001",40.84659498,-72.50059901,"T5S5",4,"4",NA,20240805,"8/5/24",2024,8,5,"EAST","PONQUOGUE BRIDGE","OPEN WATER",6.5,22.9,30.2,"11:32","Sunny"
"MP_T5S6_S23_L001",40.850855,-72.488632,"T5S6",3,"3",NA,20240805,"8/5/24",2024,8,5,"EAST","INLET","OPEN WATER",8.46,20.1,30.6,"11:49","Sunny"
"MP_T5S7_S23_L001",40.86263903,-72.49350901,"T5S7",2,"2",NA,20240805,"8/5/24",2024,8,5,"EAST","CORMORANT POINT","OPEN WATER",6.45,23,30.6,"12:14","Sunny"
"MP_T5S8_S23_L001",40.88104301,-72.48041698,"T5S8",1,"1",NA,20240805,"8/5/24",2024,8,5,"EAST","SHINNECOCK HILLS","OPEN WATER",7.25,22.1,30.5,"12:35","Sunny"
"MP_T5S9_S23_L001",40.86852003,-72.47460597,"T5S9",13,"13",NA,20240805,"8/5/24",2024,8,5,"EAST","EAST MID BAY","OPEN WATER",6.76,19.2,31.1,"12:55","Sunny"
"MP_T5S10_S23_L001",40.85579203,-72.45562004,"T5S10",11,"11",NA,20240805,"8/5/24",2024,8,5,"EAST","SOUTH GRASS","OPEN WATER",6.3,26.6,29.8,"1:22","Sunny"
"MP_T5S11_S23_L001",40.87629701,-72.45737102,"T5S11",7,"7",NA,20240805,"8/5/24",2024,8,5,"EAST","LITTLE POND","OPEN WATER",6.39,26.6,28.2,"1:45","Sunny"
"MP_T5WC_S23_L001",40.83866,-72.57004,"T5WC",23,"WC",NA,20240805,"8/5/24",2024,8,5,"WEST","WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T5TC_S23_L001",40.86009,-72.537887,"T5TC",24,"Tiana",NA,20240805,"8/5/24",2024,8,5,"WEST","TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T7S1_S23_L001",40.83347403,-72.55252498,"T7S1",12,"12",NA,20240910,"9/10/24",2024,9,10,"EAST","PINE NECK","OPEN WATER",7.48,20.4,29.6,"12:24","Sunny"
"MP_T7S2_S23_L001",40.83791502,-72.53677203,"T7S2",10,"10",NA,20240910,"9/10/24",2024,9,10,"WEST","WEST MID BAY","OPEN WATER",6.62,20.6,29.91,"11:34","Sunny"
"MP_T7S3_S23_L001",40.82872904,-72.53193802,"T7S3",9,"9",NA,20240910,"9/10/24",2024,9,10,"EAST","DUNE ROAD","OPEN WATER",7.14,20.1,28.86,"11:58","Sunny"
"MP_T7S4_S23_L001",40.84862902,-72.54801502,"T7S4",8,"8",NA,20240910,"9/10/24",2024,9,10,"EAST","WEST TIANA","OPEN WATER",8.19,21.3,29.35,"1:14","Sunny"
"MP_T7S5_S23_L001",40.84659498,-72.50059901,"T7S5",4,"4",NA,20240910,"9/10/24",2024,9,10,"EAST","PONQUOGUE BRIDGE","OPEN WATER",7.35,20.5,29.38,"11:06","Sunny"
"MP_T7S6_S23_L001",40.850855,-72.488632,"T7S6",3,"3",NA,20240910,"9/10/24",2024,9,10,"EAST","INLET","OPEN WATER",7.1,20.3,29.02,"10:49","Sunny"
"MP_T7S7_S23_L001",40.86263903,-72.49350901,"T7S7",2,"2",NA,20240910,"9/10/24",2024,9,10,"EAST","CORMORANT POINT","OPEN WATER",6.8,20.4,29.32,"10:19","Sunny"
"MP_T7S8_S23_L001",40.88104301,-72.48041698,"T7S8",1,"1",NA,20240910,"9/10/24",2024,9,10,"WEST","SHINNECOCK HILLS","OPEN WATER",6.51,19.8,28.5,"10:00","Sunny"
"MP_T7S9_S23_L001",40.86852003,-72.47460597,"T7S9",13,"13",NA,20240910,"9/10/24",2024,9,10,"EAST","EAST MID BAY","OPEN WATER",6.95,19.9,29.12,"9:18","Sunny"
"MP_T7S10_S23_L001",40.85579203,-72.45562004,"T7S10",11,"11",NA,20240910,"9/10/24",2024,9,10,"WEST","SOUTH GRASS","OPEN WATER",7.11,19.7,29.46,"8:59","Sunny"
"MP_T7S11_S23_L001",40.87629701,-72.45737102,"T7S11",7,"7",NA,20240910,"9/10/24",2024,9,10,"WEST","LITTLE POND","OPEN WATER",6.34,19.9,29.62,"9:39","Sunny"
"MP_T7WC_S23_L001",40.83866,-72.57004,"T7WC",23,"WC",NA,20240910,"9/10/24",2024,9,10,"WEST","WESSUCK CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T7TC_S23_L001",40.86009,-72.537887,"T7TC",24,"Tiana",NA,20240910,"9/10/24",2024,9,10,"WEST","TIANA CLAM","CLAM SANCTUARY",NA,NA,NA,NA,NA
"MP_T7S2_1_S23_L001",40.83791502,-72.53677203,"T7S2",10,"13",NA,20240910,"9/10/24",2024,9,10,"WEST","WEST MID BAY","OPEN WATER",6.62,20.6,29.91,"11:34","Sunny"
"MP_T7S9_1_S23_L001",40.86852003,-72.47460597,"T7S9",13,"10",NA,20240910,"9/10/24",2024,9,10,"EAST","EAST MID BAY","OPEN WATER",6.95,19.9,29.12,"9:18","Sunny"
"MP_T72_2_S23_L001",40.83791502,-72.53677203,"T7S2",10,"13",NA,20240910,"9/10/24",2024,9,10,"WEST","WEST MID BAY","OPEN WATER",6.62,20.6,29.91,"11:34","Sunny"
"MP_T79_2_S23_L001",40.86852003,-72.47460597,"T7S9",13,"10",NA,20240910,"9/10/24",2024,9,10,"EAST","EAST MID BAY","OPEN WATER",6.95,19.9,29.12,"9:18","Sunny"
"MP_June_S1_S23_L001",40.82408333,72.56621667,"JuneS1",25,"S1",NA,20240611,"6/11/24",2024,6,11,"WEST","SEDGE REEF 1","OYSTER REEF",7.29,21.5,27.27,NA,NA
"MP_June_S3_S23_L001",40.82661667,-72.56753333,"JuneS3",31,"S3",NA,20240611,"6/11/24",2024,6,11,"WEST","SEDGE REEF 3","OYSTER REEF",7.57,20.8,27.7,NA,NA
"MP_June_S6_S23_L001",40.82493333,-72.56288333,"JuneS6",32,"S6",NA,20240611,"6/11/24",2024,6,11,"WEST","SEDGE REEF 6","OYSTER REEF",7.3,21.9,27.03,NA,NA
"MP_June_S9_S23_L001",40.82318333,-72.56958333,"JuneS9",33,"S9",NA,20240611,"6/11/24",2024,6,11,"WEST","SEDGE REEF 9","OYSTER REEF",7.34,21,27.49,NA,NA
"MP_June_C4_S23_L001",40.81196667,-72.59031667,"JuneC4",26,"C4",NA,20240611,"6/11/24",2024,6,11,"WEST","CANAL REEF 4","OYSTER REEF",7.39,22.2,26.69,NA,NA
"MP_June_C5_S23_L001",40.81168333,-72.59206667,"JuneC5",34,"C5",NA,20240611,"6/11/24",2024,6,11,"WEST","CANAL REEF 5","OYSTER REEF",7.2,22.1,26.69,NA,NA
"MP_June_Positive_S23_L001",NA,NA,"JunePositive",NA,NA,"positive",20240611,"6/11/24",2024,6,11,NA,NA,NA,NA,NA,NA,NA,NA
"MP_July_S1_S23_L001",40.82408333,72.56621667,"JulyS1",25,"S1",NA,20240723,"7/23/24",2024,7,23,"WEST","SEDGE REEF 1","OYSTER REEF",7.1,25.4,28.8,NA,NA
"MP_July_S3_S23_L001",40.82661667,-72.56753333,"JulyS3",31,"S3",NA,20240723,"7/23/24",2024,7,23,"WEST","SEDGE REEF 3","OYSTER REEF",6.9,24.5,28.3,NA,NA
"MP_July_S6_S24_L001",40.82493333,-72.56288333,"JulyS6",32,"S6",NA,20240723,"7/23/24",2024,7,23,"WEST","SEDGE REEF 6","OYSTER REEF",7.9,25,29,NA,NA
"MP_July_S9_S24_L001",40.82318333,-72.56958333,"JulyS9",33,"S9",NA,20240723,"7/23/24",2024,7,23,"WEST","SEDGE REEF 9","OYSTER REEF",6.8,25,29.3,NA,NA
"MP_July_C4_S24_L001",40.81196667,-72.59031667,"JulyC4",26,"C4",NA,20240723,"7/23/24",2024,7,23,"WEST","CANAL REEF 4","OYSTER REEF",6.3,26.3,28.1,NA,NA
"MP_July_C5_S24_L001",40.81168333,-72.59206667,"JulyC5",34,"C5",NA,20240723,"7/23/24",2024,7,23,"WEST","CANAL REEF 5","OYSTER REEF",5.9,25.9,28.3,NA,NA
"MP_AS1_S24_L001",40.82408333,72.56621667,"AS1",25,"S1",NA,20240820,"8/20/24",2024,8,20,"WEST","SEDGE REEF 1","OYSTER REEF",6.04,23.4,26.2,NA,NA
"MP_AS3_S24_L001",40.82661667,-72.56753333,"AS3",31,"S3",NA,20240820,"8/20/24",2024,8,20,"WEST","SEDGE REEF 3","OYSTER REEF",7.06,23.5,26.4,NA,NA
"MP_AS6_S24_L001",40.82493333,-72.56288333,"AS6",32,"S6",NA,20240820,"8/20/24",2024,8,20,"WEST","SEDGE REEF 6","OYSTER REEF",6.13,23,26.2,NA,NA
"MP_AS9_S24_L001",40.82318333,-72.56958333,"AS9",33,"S9",NA,20240820,"8/20/24",2024,8,20,"WEST","SEDGE REEF 9","OYSTER REEF",5.98,23.5,25.8,NA,NA
"MP_AC4_S24_L001",40.81196667,-72.59031667,"AC4",26,"C4",NA,20240820,"8/20/24",2024,8,20,"WEST","CANAL REEF 4","OYSTER REEF",5.61,23.7,25,NA,NA
"MP_AC5_S24_L001",40.81168333,-72.59206667,"AC5",34,"C5",NA,20240820,"8/20/24",2024,8,20,"WEST","CANAL REEF 5","OYSTER REEF",5.59,23.8,25.3,NA,NA
"MP_SS1_S24_L001",40.82408333,72.56621667,"SS1",25,"S1",NA,20240916,"9/16/24",2024,9,16,"WEST","SEDGE REEF 1","OYSTER REEF",5.78,21.1,29.3,NA,NA
"MP_SS3_S24_L001",40.82661667,-72.56753333,"SS3",31,"S3",NA,20240916,"9/16/24",2024,9,16,"WEST","SEDGE REEF 3","OYSTER REEF",5.9,21.4,23.5,NA,NA
"MP_SS6_S24_L001",40.82493333,-72.56288333,"SS6",32,"S6",NA,20240916,"9/16/24",2024,9,16,"WEST","SEDGE REEF 6","OYSTER REEF",5.5,20.5,23.8,NA,NA
"MP_SS9_S24_L001",40.82318333,-72.56958333,"SS9",33,"S9",NA,20240916,"9/16/24",2024,9,16,"WEST","SEDGE REEF 9","OYSTER REEF",5.3,21.2,29.4,NA,NA
"MP_SC4_S24_L001",40.81196667,-72.59031667,"SC4",26,"C4",NA,20240916,"9/16/24",2024,9,16,"WEST","CANAL REEF 4","OYSTER REEF",5.1,21.4,29.1,NA,NA
"MP_SC5_S24_L001",40.81168333,-72.59206667,"SC5",34,"C5",NA,20240916,"9/16/24",2024,9,16,"WEST","CANAL REEF 5","OYSTER REEF",5.2,21.6,29.1,NA,NA
"MP_S_Positive_S24_L001",NA,NA,"Spositive",NA,NA,"positive",20240916,"9/16/24",2024,9,16,NA,NA,NA,NA,NA,NA,NA,NA
"MP_JT1_S24_L001",40.833381,-72.536572,"JT1",27,"T1",NA,20240723,"7/23/24",2024,7,23,"WEST","TIANA BEACH EELGRASS","SEAGRASS",5.88,21.5,29.45,NA,NA
"MP_JT3_S24_L001",40.880681,-72.465141,"JT3",29,"T3",NA,20240723,"7/23/24",2024,7,23,"EAST","NORTHEASTERN BAY EELGRASS","SEAGRASS",5.86,21.7,29.9,NA,NA
"MP_ATPositive_S24_L001",NA,NA,"ATPositive",NA,NA,"positive",20240820,"8/20/24",2024,8,20,NA,NA,NA,NA,NA,NA,NA,NA
"MP_AT1_S24_L001",40.833381,-72.536572,"AT1",27,"T1",NA,20240820,"8/20/24",2024,8,20,"WEST","TIANA BEACH EELGRASS","EELGRASS",6.16,22.8,28.2,NA,NA
"MP_AT2_S24_L001",40.84476,-72.50889,"AT2",28,"T2",NA,20240820,"8/20/24",2024,8,20,"WEST","PONQUOGUE BRIDGE EELGRASS","EELGRASS",6.64,21.2,30.5,NA,NA
"MP_AT3_S24_L001",40.880681,-72.465141,"AT3",29,"T3",NA,20240820,"8/20/24",2024,8,20,"EAST","NORTHEASTERN BAY EELGRASS","EELGRASS",6.12,23,29.3,NA,NA
"MP_AT4_S24_L001",40.85816,-72.49513,"AT4",30,"T4",NA,20240820,"8/20/24",2024,8,20,"EAST","SHINNECOCK ROAD EELGRASS","EELGRASS",6.49,21.9,29.7,NA,NA
"MP_STPositive_S24_L001",NA,NA,"STPositive",NA,NA,"positive",20240916,"9/16/24",2024,9,16,NA,NA,NA,NA,NA,NA,NA,NA
"MP_ST1_S24_L001",40.833381,-72.536572,"ST1",27,"T1",NA,20240916,"9/16/24",2024,9,16,"WEST","TIANA BEACH EELGRASS","EELGRASS",5.6,20.8,30.7,NA,NA
"MP_ST2_S24_L001",40.84476,-72.50889,"ST2",28,"T2",NA,20240916,"9/16/24",2024,9,16,"WEST","PONQUOGUE BRIDGE EELGRASS","EELGRASS",7.1,20.6,31.3,NA,NA
"MP_ST3_S24_L001",40.880681,-72.465141,"ST3",29,"T3",NA,20240916,"9/16/24",2024,9,16,"EAST","NORTHEASTERN BAY EELGRASS","EELGRASS",5.6,22.1,30.5,NA,NA
"MP_ST4_S24_L001",40.85816,-72.49513,"ST4",30,"T4",NA,20240916,"9/16/24",2024,9,16,"EAST","SHINNECOCK ROAD EELGRASS","EELGRASS",6,21,30.5,NA,NA
